Ticker,Asset Name,Transaction Date,Disclosure Date,Type,Amount Range,Insider Title,Min Amount,Max Amount,Midpoint Amount
NFLX,"Netflix, Inc.",2018-07-18,07/18/2018,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
NFLX,"Netflix, Inc.",2018-03-19,03/19/2018,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
AAPL,Apple Inc.,2018-11-05,11/05/2018,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
AAPL,Apple Inc.,2018-10-24,10/24/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
MSFT,Microsoft Corporation,2019-05-28,05/28/2019,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
WFC,Wells Fargo &amp; Company,2019-06-01,06/01/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
VMC,Vulcan Materials Company,2019-06-03,06/03/2019,SALE (FULL),"$250,001 - $500,000",Senator,250001,500000,375000.5
IR,Ingersoll-Rand Plc,2019-06-03,06/03/2019,SALE (FULL),"$250,001 - $500,000",Senator,250001,500000,375000.5
NVDA,NVIDIA Corporation,2019-05-17,05/17/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
CVS,CVS Health Corporation,2019-05-16,05/16/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
PG,The Procter &amp; Gamble Company,2019-05-30,05/30/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
PEP,"PepsiCo, Inc.",2019-05-30,05/30/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
CTSH,Cognizant Technology Solutions Corporation,2019-05-29,05/29/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
PEP,"PepsiCo, Inc.",2019-05-23,05/23/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
PG,The Procter &amp; Gamble Company,2019-05-23,05/23/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
FDX,FedEx Corporation,2019-05-23,05/23/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
