Ticker,Asset Name,Transaction Date,Disclosure Date,Type,Amount Range,Insider Title,Min Amount,Max Amount,Midpoint Amount,Stock Price at Trade,Stock Price 90D Later,Market (SPY) 90D Return,Stock 90D Return,Abnormal Alpha Return
AAPL,Apple Inc.,2018-08-24,08/24/2018,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,51.109310150146484,41.94405746459961,-0.07405073849449972,-0.1793264800213823,-0.10527574152688257
NFLX,"Netflix, Inc.",2018-08-20,08/20/2018,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,32.77299880981445,28.621000289916992,-0.03745886688117676,-0.1266896125066856,-0.08923074562550884
NFLX,"Netflix, Inc.",2018-07-19,07/19/2018,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,36.42300033569336,36.470001220703125,0.006140915200097693,0.0012904177189298235,-0.00485049748116787
NFLX,"Netflix, Inc.",2018-06-25,06/25/2018,PURCHASE,"$50,001 - $100,000",Senator,50001,100000,75000.5,38.448001861572266,36.11899948120117,0.08233116330750195,-0.06057538149203193,-0.14290654479953388
MMM,3M Company,2018-04-24,04/24/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,126.6061782836914,126.02073669433594,0.07026493886897063,-0.00462411548387194,-0.07488905435284257
MMM,3M Company,2018-04-05,04/05/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,137.6471405029297,124.11302947998047,0.024380517769442323,-0.09832467985530842,-0.12270519762475074
NVDA,NVIDIA Corporation,2018-04-25,04/25/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,5.353288173675537,6.148987293243408,0.07299875017409767,0.14863745304814194,0.07563870287404427
NFLX,"Netflix, Inc.",2018-04-25,04/25/2018,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,30.576000213623047,35.731998443603516,0.07299875017409767,0.16862893099023557,0.0956301808161379
NFLX,"Netflix, Inc.",2018-04-23,04/23/2018,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,31.868999481201172,36.10499954223633,0.053891748141846364,0.13291914179903516,0.0790273936571888
ICE,"Intercontinental Exchange, Inc.",2018-02-27,02/27/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,65.83103942871094,63.73078536987305,-0.004336333601344468,-0.031903704955354314,-0.027567371354009846
NVDA,NVIDIA Corporation,2018-02-15,02/15/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,6.0868000984191895,6.078475475311279,0.0011000344461017816,-0.0013676517995181334,-0.002467686245619915
